epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.2919,0.75206,0.896,1,0.28467,0.000415335,0.000415335,0.000415335
2,26.695,0.30548,0.92,1,0.2243,0.000804546,0.000804546,0.000804546
3,36.1894,0.26669,0.957,1,0.16544,0.00116626,0.00116626,0.00116626
4,45.3213,0.22549,0.896,1,0.30568,0.00112625,0.00112625,0.00112625
5,54.4211,0.20238,0.951,1,0.16822,0.001085,0.001085,0.001085
6,63.7261,0.15571,0.961,1,0.11744,0.00104375,0.00104375,0.00104375
7,72.9078,0.13729,0.964,1,0.10899,0.0010025,0.0010025,0.0010025
8,82.1367,0.12454,0.952,1,0.13643,0.00096125,0.00096125,0.00096125
9,91.389,0.12524,0.961,1,0.14723,0.00092,0.00092,0.00092
10,100.645,0.10208,0.977,1,0.07917,0.00087875,0.00087875,0.00087875
11,109.897,0.09855,0.96,1,0.1256,0.0008375,0.0008375,0.0008375
12,119.124,0.08393,0.969,1,0.12279,0.00079625,0.00079625,0.00079625
13,128.482,0.0979,0.969,1,0.09389,0.000755,0.000755,0.000755
14,137.788,0.07571,0.974,1,0.0933,0.00071375,0.00071375,0.00071375
15,147.092,0.07219,0.974,1,0.08152,0.0006725,0.0006725,0.0006725
16,156.512,0.06685,0.979,1,0.07497,0.00063125,0.00063125,0.00063125
17,165.886,0.06748,0.976,1,0.09104,0.00059,0.00059,0.00059
18,175.284,0.07095,0.98,1,0.07306,0.00054875,0.00054875,0.00054875
19,184.817,0.0613,0.979,1,0.05978,0.0005075,0.0005075,0.0005075
20,194.249,0.0524,0.985,1,0.05481,0.00046625,0.00046625,0.00046625
21,222.942,0.05087,0.98,1,0.04948,0.000425,0.000425,0.000425
22,232.583,0.05901,0.988,1,0.04005,0.00038375,0.00038375,0.00038375
23,243.313,0.04787,0.986,1,0.04876,0.0003425,0.0003425,0.0003425
24,254.103,0.04766,0.982,1,0.05394,0.00030125,0.00030125,0.00030125
25,263.949,0.04183,0.988,1,0.06308,0.00026,0.00026,0.00026
26,273.464,0.04794,0.991,1,0.05751,0.00021875,0.00021875,0.00021875
27,283.276,0.03333,0.989,1,0.04356,0.0001775,0.0001775,0.0001775
28,292.879,0.03573,0.989,1,0.04074,0.00013625,0.00013625,0.00013625
29,302.512,0.03744,0.986,1,0.04606,9.5e-05,9.5e-05,9.5e-05
30,312.283,0.03694,0.987,1,0.04514,5.375e-05,5.375e-05,5.375e-05
