epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,113.71,1.5015,2.34832,1.59868,1.18567,0,0.53847,0.37146,0.36977,0.18892,0.52147,0.36388,0.36752,0.19172,1.81817,3.24876,2.35023,1.39229,0,0.000474397,0.000474397,0.000474397
2,227.103,1.58472,2.34069,1.33898,1.19851,0,0.60196,0.62673,0.64193,0.348,0.60351,0.62339,0.63724,0.32872,1.62911,2.739,1.37065,1.2762,0,0.000931906,0.000931906,0.000931906
3,487.21,1.60072,2.32923,1.29279,1.2033,0,0.42484,0.24517,0.32919,0.16721,0.4266,0.24624,0.33017,0.18672,2.12691,3.11807,3.56067,1.53955,0,0.00137055,0.00137055,0.00137055
4,679.01,1.52181,2.19163,1.19696,1.17387,0,0.74681,0.63589,0.69801,0.3853,0.75248,0.63751,0.69911,0.37775,1.60853,2.539,1.16235,1.29135,0,0.00134412,0.00134412,0.00134412
5,786.534,1.4477,2.10453,1.10905,1.14566,0,0.78457,0.72994,0.77603,0.45048,0.79225,0.73311,0.77639,0.44291,1.46433,2.31678,1.07469,1.20814,0,0.00131582,0.00131582,0.00131582
6,893.958,1.44332,2.08751,1.03162,1.14094,0,0.7846,0.75125,0.79902,0.46648,0.80126,0.73009,0.79848,0.46846,1.47148,2.28911,0.95464,1.19171,0,0.00128753,0.00128753,0.00128753
7,1000.94,1.40458,1.98674,0.97464,1.12585,0,0.71936,0.75364,0.77319,0.44679,0.71979,0.75061,0.77355,0.43379,1.44016,2.2434,1.06015,1.18559,0,0.00125923,0.00125923,0.00125923
8,1107.67,1.37218,1.99214,0.94634,1.11366,0,0.77557,0.78796,0.81477,0.49801,0.79072,0.78316,0.8211,0.48022,1.37014,2.13336,0.93491,1.14355,0,0.00123094,0.00123094,0.00123094
9,1214.33,1.35633,1.96807,0.9159,1.10571,0,0.76464,0.73834,0.76318,0.46382,0.77825,0.72611,0.7682,0.44438,1.43762,2.26871,0.98076,1.17137,0,0.00120265,0.00120265,0.00120265
10,1320.85,1.34457,1.91546,0.88677,1.10703,0,0.82217,0.762,0.82072,0.50069,0.82873,0.76401,0.83115,0.48643,1.40777,2.11615,0.90106,1.15624,0,0.00117435,0.00117435,0.00117435
11,1425.61,1.33235,1.90751,0.86333,1.09916,0,0.84505,0.81031,0.84767,0.5238,0.84345,0.8083,0.85193,0.51226,1.36552,2.06793,0.79209,1.13287,0,0.00114606,0.00114606,0.00114606
12,1529.76,1.30122,1.86077,0.83911,1.08258,0,0.81548,0.78264,0.82127,0.50505,0.81759,0.77323,0.81803,0.48577,1.36481,2.13437,0.81744,1.14174,0,0.00111776,0.00111776,0.00111776
13,1633.48,1.28268,1.8234,0.80846,1.0727,0,0.87625,0.794,0.85971,0.54187,0.8769,0.79568,0.85613,0.51249,1.32491,2.0742,0.77719,1.11846,0,0.00108947,0.00108947,0.00108947
14,1736.73,1.29278,1.82683,0.80974,1.07273,0,0.84972,0.80778,0.85365,0.52941,0.85941,0.8096,0.85656,0.51877,1.35521,2.03662,0.77353,1.13575,0,0.00106118,0.00106118,0.00106118
15,1840.38,1.27401,1.79454,0.79257,1.06776,0,0.85876,0.80928,0.86246,0.55047,0.8716,0.8112,0.8679,0.52166,1.29307,2.00588,0.73895,1.10151,0,0.00103288,0.00103288,0.00103288
16,1944.84,1.25638,1.78682,0.77167,1.06842,0,0.87682,0.80301,0.85612,0.54638,0.87964,0.81027,0.86099,0.51922,1.29162,2.03077,0.73795,1.1163,0,0.00100459,0.00100459,0.00100459
17,2048.71,1.25805,1.79105,0.76207,1.07304,0,0.8647,0.80586,0.85771,0.53958,0.87138,0.81523,0.86572,0.52843,1.32945,2.01955,0.73975,1.11695,0,0.000976293,0.000976293,0.000976293
18,2152.37,1.24905,1.76158,0.74486,1.05882,0,0.87949,0.84247,0.8801,0.56082,0.8895,0.84705,0.88984,0.53619,1.3218,2.00463,0.69773,1.12412,0,0.000947999,0.000947999,0.000947999
19,2256.24,1.2261,1.74982,0.72917,1.05113,0,0.87822,0.80582,0.86743,0.551,0.89043,0.80344,0.87002,0.52842,1.33592,2.03272,0.73447,1.12778,0,0.000919704,0.000919704,0.000919704
20,2359.68,1.23052,1.75504,0.71729,1.06418,0,0.88816,0.82756,0.88001,0.55516,0.89008,0.83138,0.88171,0.53165,1.29687,1.96562,0.70242,1.10348,0,0.00089141,0.00089141,0.00089141
21,2462.97,1.20452,1.70787,0.71024,1.04386,0,0.86327,0.80021,0.86105,0.53079,0.86763,0.8067,0.87009,0.52251,1.34844,1.99298,0.76439,1.13054,0,0.000863116,0.000863116,0.000863116
22,2575.66,1.19185,1.70826,0.70126,1.04136,0,0.85411,0.83367,0.8692,0.55759,0.87095,0.82355,0.8784,0.54355,1.29151,1.95495,0.70286,1.09577,0,0.000834822,0.000834822,0.000834822
23,2685.15,1.19265,1.70999,0.70073,1.04491,0,0.87333,0.81888,0.88002,0.57011,0.88048,0.82478,0.88555,0.53913,1.2751,1.986,0.69693,1.09074,0,0.000806528,0.000806528,0.000806528
24,2796.36,1.17946,1.68393,0.67986,1.03754,0,0.87375,0.81474,0.86894,0.55582,0.88433,0.82007,0.87538,0.54208,1.32805,2.002,0.69843,1.11532,0,0.000778233,0.000778233,0.000778233
25,2906.8,1.18743,1.66045,0.69392,1.03288,0,0.88443,0.83695,0.887,0.57495,0.89503,0.82997,0.88625,0.54901,1.26266,1.94526,0.65996,1.08945,0,0.000749939,0.000749939,0.000749939
26,3013.77,1.16728,1.65169,0.66834,1.03113,0,0.88436,0.85097,0.89305,0.57295,0.89071,0.84866,0.89392,0.54516,1.27593,1.99535,0.63671,1.10307,0,0.000721645,0.000721645,0.000721645
27,3120.39,1.14636,1.62396,0.63948,1.01974,0,0.89135,0.85597,0.89819,0.57458,0.88918,0.85455,0.89887,0.55475,1.30189,1.97351,0.6399,1.11762,0,0.000693351,0.000693351,0.000693351
28,3228.74,1.14903,1.61566,0.63359,1.02452,0,0.87938,0.84137,0.8868,0.5736,0.89388,0.84796,0.89863,0.54841,1.30271,1.99865,0.64536,1.11808,0,0.000665057,0.000665057,0.000665057
29,3338.73,1.14362,1.62106,0.64202,1.0232,0,0.91211,0.8251,0.89108,0.568,0.91465,0.82565,0.89062,0.54497,1.28513,1.93562,0.65921,1.09367,0,0.000636762,0.000636762,0.000636762
30,3455.06,1.14316,1.6119,0.62788,1.023,0,0.88737,0.83218,0.87816,0.5688,0.89278,0.84,0.88447,0.54813,1.29092,1.96346,0.67614,1.09796,0,0.000608468,0.000608468,0.000608468
31,3729.78,1.13502,1.59762,0.62984,1.01739,0,0.86492,0.84424,0.88523,0.57486,0.8576,0.85754,0.88964,0.54877,1.2749,1.95185,0.65531,1.09578,0,0.000580174,0.000580174,0.000580174
