epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,199.413,1.5022,2.34821,1.60768,1.18217,0,0.45177,0.61386,0.4247,0.20981,0.46099,0.62039,0.43475,0.21281,1.60028,2.71729,2.69118,1.31073,0,0.000474397,0.000474397,0.000474397
2,389.416,1.5874,2.32577,1.35447,1.20378,0,0.65522,0.64477,0.66488,0.3663,0.66392,0.65338,0.6703,0.35486,1.57681,2.59658,1.27037,1.26212,0,0.000941318,0.000941318,0.000941318
3,599.46,1.58693,2.31057,1.27658,1.19844,0,0.63554,0.55502,0.60514,0.32748,0.63926,0.55843,0.60903,0.32634,1.61064,2.88517,1.62655,1.28376,0,0.00139881,0.00139881,0.00139881
4,884.052,1.51271,2.17987,1.1818,1.16964,0,0.69809,0.64691,0.69571,0.39508,0.70564,0.65465,0.69829,0.40117,1.5905,2.43791,1.14404,1.27019,0,0.00138656,0.00138656,0.00138656
5,1070.38,1.44916,2.0961,1.08925,1.14966,0,0.71869,0.61125,0.66374,0.38684,0.72471,0.61669,0.66197,0.37091,1.54415,2.61885,1.36197,1.24222,0,0.00137241,0.00137241,0.00137241
6,1254.81,1.43414,2.07613,1.04218,1.13445,0,0.75769,0.62291,0.71755,0.41519,0.76313,0.62675,0.72327,0.42313,1.52544,2.45873,1.22191,1.22069,0,0.00135826,0.00135826,0.00135826
7,1526.95,1.42516,1.98666,0.99328,1.1314,0,0.82698,0.76086,0.81609,0.48177,0.83966,0.76444,0.8233,0.46966,1.44493,2.30909,0.95743,1.1841,0,0.00134412,0.00134412,0.00134412
8,1699.91,1.38045,1.98139,0.96366,1.1146,0,0.78419,0.76359,0.80909,0.48534,0.81797,0.73074,0.80624,0.47915,1.4248,2.20257,0.97955,1.17112,0,0.00132997,0.00132997,0.00132997
9,1937.55,1.36233,1.97315,0.9374,1.10622,0,0.80857,0.74361,0.80002,0.48665,0.81133,0.75185,0.8038,0.46718,1.3984,2.18619,0.90617,1.16117,0,0.00131582,0.00131582,0.00131582
10,2110.28,1.35715,1.93228,0.91342,1.11011,0,0.7719,0.7627,0.79489,0.48067,0.77383,0.76032,0.79724,0.46444,1.41377,2.15908,0.98061,1.15924,0,0.00130168,0.00130168,0.00130168
11,2287.97,1.34324,1.91654,0.88725,1.10485,0,0.85485,0.76649,0.84211,0.5152,0.8582,0.76969,0.84653,0.49311,1.38536,2.12963,0.84255,1.14212,0,0.00128753,0.00128753,0.00128753
12,2627.14,1.31921,1.86197,0.85014,1.086,0,0.85524,0.78318,0.84558,0.53403,0.8552,0.7908,0.84743,0.51018,1.35458,2.17237,0.79275,1.13855,0,0.00127338,0.00127338,0.00127338
13,2811.92,1.30082,1.84517,0.83003,1.07818,0,0.81605,0.77245,0.81325,0.5077,0.81679,0.77241,0.81041,0.48222,1.35181,2.10934,0.88851,1.12956,0,0.00125923,0.00125923,0.00125923
14,3096.51,1.31147,1.84024,0.84185,1.07599,0,0.84565,0.79984,0.84827,0.52288,0.85676,0.80764,0.86275,0.51667,1.37793,2.05778,0.81305,1.13896,0,0.00124509,0.00124509,0.00124509
15,3376,1.29687,1.81401,0.815,1.07309,0,0.88557,0.79531,0.86043,0.55146,0.90045,0.80056,0.87453,0.52511,1.32325,2.05109,0.74425,1.11688,0,0.00123094,0.00123094,0.00123094
16,3557.31,1.28242,1.80338,0.80443,1.07156,0,0.85267,0.78848,0.84021,0.524,0.85997,0.79326,0.84462,0.50733,1.34141,2.10132,0.79779,1.13766,0,0.00121679,0.00121679,0.00121679
17,3761.5,1.28488,1.79939,0.81007,1.07955,0,0.81126,0.78934,0.83184,0.51956,0.80861,0.79733,0.8355,0.49966,1.35098,2.06091,0.80027,1.13473,0,0.00120265,0.00120265,0.00120265
18,3932.48,1.27608,1.78107,0.78517,1.06259,0,0.87199,0.80828,0.86329,0.54447,0.90106,0.80789,0.87722,0.52305,1.31426,2.02895,0.75121,1.10914,0,0.0011885,0.0011885,0.0011885
19,4102.85,1.27074,1.77555,0.77253,1.06172,0,0.89127,0.78379,0.86557,0.54125,0.89719,0.7893,0.87088,0.51152,1.35289,2.06534,0.7736,1.12293,0,0.00117435,0.00117435,0.00117435
20,4271.69,1.25649,1.77914,0.76483,1.06063,0,0.88469,0.81818,0.87991,0.54983,0.90066,0.82339,0.88856,0.5326,1.34678,2.01242,0.7162,1.12136,0,0.00116021,0.00116021,0.00116021
21,4530.77,1.24588,1.72868,0.75176,1.05235,0,0.88229,0.80307,0.87232,0.54572,0.89421,0.81303,0.87754,0.52832,1.31417,2.00002,0.74625,1.10395,0,0.00114606,0.00114606,0.00114606
22,4699.47,1.23127,1.74378,0.7401,1.04899,0,0.88763,0.80531,0.87181,0.5515,0.90358,0.81606,0.87576,0.53594,1.32659,1.99013,0.73384,1.11076,0,0.00113191,0.00113191,0.00113191
23,4938.39,1.2296,1.73888,0.74514,1.04864,0,0.88155,0.8236,0.87475,0.55805,0.89169,0.81613,0.87174,0.54236,1.3073,1.9808,0.71591,1.0944,0,0.00111776,0.00111776,0.00111776
24,5165.64,1.22116,1.71735,0.73539,1.04725,0,0.86754,0.81559,0.8636,0.53939,0.86313,0.80759,0.86002,0.52978,1.36454,2.04156,0.72436,1.1318,0,0.00110362,0.00110362,0.00110362
25,5351.46,1.22472,1.70993,0.73763,1.04026,0,0.9014,0.82492,0.88984,0.56328,0.89529,0.81908,0.8845,0.53654,1.3007,2.01336,0.69611,1.10169,0,0.00108947,0.00108947,0.00108947
26,5521.62,1.21717,1.69385,0.72031,1.03694,0,0.89902,0.82743,0.88138,0.55764,0.90383,0.8295,0.88436,0.53796,1.30073,2.01756,0.68437,1.10751,0,0.00107532,0.00107532,0.00107532
27,5690.25,1.19417,1.67575,0.69628,1.0279,0,0.8674,0.83826,0.87709,0.55342,0.86903,0.83706,0.8763,0.54012,1.34227,2.00539,0.69743,1.11935,0,0.00106118,0.00106118,0.00106118
28,5895.19,1.19126,1.65167,0.70434,1.02743,0,0.85971,0.84737,0.89019,0.56049,0.88515,0.82006,0.88438,0.53313,1.32698,2.0195,0.70499,1.12554,0,0.00104703,0.00104703,0.00104703
29,6093.38,1.1878,1.66116,0.69343,1.02876,0,0.88409,0.85281,0.88841,0.56087,0.88107,0.83737,0.88125,0.5401,1.31454,1.97321,0.68822,1.10402,0,0.00103288,0.00103288,0.00103288
30,6274.92,1.18757,1.65675,0.69335,1.02503,0,0.87976,0.83922,0.88464,0.56607,0.87358,0.84481,0.88325,0.54151,1.29732,1.96926,0.69066,1.1,0,0.00101873,0.00101873,0.00101873
31,6474.38,1.18336,1.64747,0.68667,1.0249,0,0.8806,0.84468,0.88076,0.55289,0.88098,0.84471,0.87833,0.53147,1.30383,1.99629,0.68939,1.10986,0,0.00100459,0.00100459,0.00100459
32,6683.27,1.19387,1.62506,0.68901,1.02453,0,0.89824,0.83823,0.89443,0.57723,0.90476,0.84372,0.89895,0.5476,1.28214,1.95752,0.6581,1.09387,0,0.00099044,0.00099044,0.00099044
33,6851.99,1.17104,1.61576,0.66297,1.02222,0,0.88029,0.83339,0.87654,0.55774,0.89013,0.84149,0.88391,0.54164,1.33244,1.99918,0.67203,1.11437,0,0.000976293,0.000976293,0.000976293
34,7199.84,1.16436,1.60515,0.6515,1.01221,0,0.86228,0.85706,0.88218,0.55479,0.86461,0.85686,0.88602,0.55273,1.35108,1.97479,0.66453,1.1164,0,0.000962146,0.000962146,0.000962146
35,7464.44,1.17111,1.61912,0.67263,1.01875,0,0.89803,0.83935,0.88814,0.57529,0.90891,0.84471,0.89941,0.55574,1.30563,1.96407,0.66457,1.10476,0,0.000947999,0.000947999,0.000947999
36,7634.6,1.14378,1.5858,0.63724,1.00858,0,0.88485,0.84179,0.89031,0.57898,0.89434,0.84925,0.89251,0.56237,1.28734,1.95835,0.66007,1.09794,0,0.000933851,0.000933851,0.000933851
37,7835.74,1.17155,1.61475,0.65883,1.00985,0,0.87136,0.831,0.8815,0.57162,0.88247,0.83253,0.88168,0.54893,1.2807,1.99316,0.67535,1.10301,0,0.000919704,0.000919704,0.000919704
38,7939.21,1.16917,1.60308,0.64924,1.00931,0,0.89001,0.82353,0.88184,0.57537,0.89234,0.84027,0.88687,0.54283,1.28972,1.99498,0.65576,1.10643,0,0.000905557,0.000905557,0.000905557
39,8240.7,1.15471,1.59925,0.64411,1.00952,0,0.89836,0.84113,0.8859,0.56357,0.90802,0.84802,0.89361,0.55618,1.33945,1.96605,0.65245,1.1187,0,0.00089141,0.00089141,0.00089141
40,8344.2,1.13356,1.57138,0.62618,1.00501,0,0.90001,0.86539,0.89963,0.57877,0.91209,0.85692,0.90471,0.55074,1.29096,1.96549,0.63308,1.11054,0,0.000877263,0.000877263,0.000877263
41,8447.75,1.14763,1.57582,0.6236,1.00701,0,0.88134,0.83811,0.87814,0.56097,0.89018,0.84619,0.88506,0.54265,1.32486,2.00366,0.65712,1.11718,0,0.000863116,0.000863116,0.000863116
42,8551.09,1.14243,1.59457,0.62496,1.00689,0,0.89226,0.84152,0.88269,0.56762,0.90066,0.84915,0.88566,0.54665,1.32117,1.98356,0.64359,1.12446,0,0.000848969,0.000848969,0.000848969
43,8654.64,1.14166,1.5708,0.61522,1.00539,0,0.89526,0.86466,0.89917,0.58113,0.90123,0.85011,0.89326,0.55537,1.27719,1.96251,0.63646,1.0921,0,0.000834822,0.000834822,0.000834822
44,8758.33,1.13254,1.56419,0.62048,1.00226,0,0.89601,0.86187,0.89681,0.57956,0.91277,0.85425,0.90232,0.56223,1.27568,1.93386,0.62789,1.08836,0,0.000820675,0.000820675,0.000820675
45,8862.29,1.10811,1.52929,0.59333,0.99067,0,0.90036,0.86772,0.90015,0.58033,0.91054,0.86408,0.90201,0.55486,1.29712,1.94699,0.62292,1.11016,0,0.000806528,0.000806528,0.000806528
46,8966.14,1.11017,1.5443,0.60147,0.99558,0,0.88907,0.86032,0.89574,0.57541,0.90612,0.8509,0.8974,0.56101,1.28412,1.94356,0.61446,1.101,0,0.00079238,0.00079238,0.00079238
47,9070.18,1.10057,1.53982,0.59502,0.99164,0,0.90495,0.86216,0.90249,0.58779,0.91134,0.85539,0.89939,0.55905,1.26604,1.94336,0.61224,1.09292,0,0.000778233,0.000778233,0.000778233
48,9174.37,1.09775,1.52212,0.59013,0.99442,0,0.8724,0.87815,0.89935,0.58796,0.89462,0.87293,0.90719,0.56863,1.28754,1.96231,0.61908,1.10483,0,0.000764086,0.000764086,0.000764086
49,9278.47,1.08832,1.5405,0.5956,0.98623,0,0.90538,0.86,0.90325,0.58284,0.91118,0.86446,0.90568,0.5626,1.2892,1.92572,0.61297,1.10534,0,0.000749939,0.000749939,0.000749939
50,9382.15,1.10973,1.55158,0.59502,0.98934,0,0.88693,0.87265,0.9017,0.58984,0.89807,0.87273,0.9057,0.56202,1.27446,1.94198,0.61611,1.10209,0,0.000735792,0.000735792,0.000735792
51,9485.58,1.0835,1.51471,0.57353,0.97713,0,0.89681,0.86205,0.89695,0.59492,0.91306,0.8675,0.90664,0.56156,1.26178,1.96155,0.60293,1.09917,0,0.000721645,0.000721645,0.000721645
52,9589.71,1.07972,1.49831,0.58366,0.98658,0,0.90214,0.85398,0.90275,0.58649,0.90219,0.85565,0.90263,0.56334,1.26857,1.95159,0.6033,1.10347,0,0.000707498,0.000707498,0.000707498
53,9694.03,1.07743,1.46644,0.56301,0.98049,0,0.90021,0.84451,0.89862,0.58199,0.90258,0.84706,0.89548,0.55574,1.27718,1.94498,0.61172,1.10774,0,0.000693351,0.000693351,0.000693351
54,9797.94,1.06922,1.49227,0.56567,0.97771,0,0.88771,0.86288,0.89337,0.58244,0.8914,0.86507,0.89513,0.5607,1.27017,1.95257,0.60678,1.10547,0,0.000679204,0.000679204,0.000679204
55,9901.88,1.08649,1.48642,0.56896,0.98105,0,0.88178,0.85989,0.89559,0.58717,0.88519,0.85393,0.89319,0.55357,1.28384,1.96882,0.61303,1.10971,0,0.000665057,0.000665057,0.000665057
